id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Без категории,fold
3835748,5,Благодарю за проделанную работу! ,0,0,0,0,0,1,3
3835874,5,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0,0,0,0,0,1,2
3839647,5,"Спасибо, всё чётко.",0,0,0,0,0,1,0
3840353,5,Благодарю ,0,0,0,0,0,1,3
3841026,5,Спасибо Сергей ! )))),0,0,1,1,0,0,3
3842440,5,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",0,0,1,1,0,0,3
3842790,5,хоть что то сделали 👍👏,0,0,0,1,0,0,3
3843760,5,спасибо),0,0,0,0,0,1,4
3844645,5,"профессионально, быстро. очень приятный мастер",0,0,1,0,0,0,1
3846820,5,спасибо! ,0,0,0,0,0,1,0
3846831,5,"Спасибо, вопрос решили, всё стало нормально ",0,0,0,0,0,1,1
3848236,5,Татьяна Владимировна большое вам спасибо!!!! ,0,0,0,0,0,1,3
3850118,1,"спасибо за  быстрый ответ! 


",0,0,1,1,0,0,1
3852179,5,Огромное спасибо вам от всего подъезда!!!   ))))),0,0,1,1,0,0,2
3852743,5,спасибо!),0,0,0,0,0,1,4
3852975,5,спасибо ,0,0,1,1,0,0,0
3854073,5,Все отлично ,0,1,0,1,0,0,2
3856028,1,свершилось,0,0,0,0,0,1,2
3859764,5,Спасибо мастеру ,0,0,1,1,0,0,2
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",0,0,0,0,0,1,1
3860248,5,"Среагировали быстро, благодарю ",0,0,0,0,0,1,2
3860900,5,Спасибо за оперативность!,0,0,1,1,0,0,3
3862448,5,Отличный мастер!,0,0,0,0,0,1,4
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",0,0,0,0,0,1,0
3863609,5,Быстро ,1,0,0,0,0,0,1
3866829,5,Спасибо за своевременное выполнение заявки...,0,0,1,1,0,0,1
3866867,5,все сделали быстро. спасибо ,0,0,1,1,0,0,2
3868883,5,всё отлично 👍,0,1,0,1,0,0,3
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм ",0,0,1,1,0,0,2
3872129,5,благодарю ,0,0,0,0,0,1,2
3873692,5,оперативно и качественно. спасибо ,1,0,1,1,0,0,0
3875262,5,"благодарю, всего доброго!",0,0,0,0,0,1,1
3877186,5,Спасибо большое! ,0,0,1,1,0,0,3
3877334,3,К мастеру вопросов нет.  ,0,0,1,0,0,0,0
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1,0,1,0,1,0,3
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0,0,1,1,0,0,3
3878555,5,спасибо большое! надолго ли🙄,0,0,1,1,0,0,4
3878808,5,Огромное спасибо! ,0,0,0,0,0,1,1
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,0,0,1,1,0,0,0
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,0,0,1,1,0,0,4
3880717,3,снимаю звезду за первую отписку без выполнения работ,0,0,0,0,0,1,3
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",1,0,0,0,0,0,1
3881460,5,Спасибо! Все заработало ,0,0,0,0,0,1,0
3881636,5,"спасибо, решили мой вопрос на месте в офисе ",0,0,0,0,1,0,2
3882840,5,"Спасибо больше Ольге Птушкине, за проделанную работу! ",0,0,1,1,0,0,4
3883200,5,"всё сделали хорошо, починили вовремя. наверное, молодцы.",0,0,0,1,0,0,2
3883457,5,Спасибо,0,0,1,1,0,0,0
3883549,5,Супер! Спасибо!,0,0,0,0,0,1,3
3883658,5,Отлично! Все выполнили как и обещали! ,0,0,0,1,0,0,3
3883736,5,Очень оперативно. Спасибо большое ,0,0,1,1,0,0,0
3883745,5,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1,1,1,0,1,0,1
3884964,5,Умело подкрутили редукторы давления. Молодец!,0,0,0,0,0,1,1
3885089,5,"все хорошо,дверь практически бесшумно закрывается",0,0,0,0,0,1,3
3886150,5,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0,0,1,1,0,0,0
3886231,5,"быстро, чётко, без проблем. одно слово - мастер! ",0,0,0,0,0,1,0
3886721,5,Работает. Спасибо!,0,0,0,0,0,1,3
3886923,5,"сегодня ездил, все исправно работает, спасибо!",0,0,0,0,0,1,3
3886937,5,"Спасибо большое, всё понятно.",0,0,1,1,0,0,0
3887002,5,Татьяна спасибо ❤️,0,0,1,1,0,0,1
3887203,5,На вопрос ответили. Крепления нельзя повесить в колясочной,0,0,0,0,0,1,3
3887228,5,Большое спасибо!,0,0,0,0,0,1,4
3887353,5,Лучший ,0,0,0,0,0,1,0
3887358,5,спасибо за оперативность ,0,0,1,1,0,0,1
3887392,5,спасибо за то что быстро отреагировали,1,0,1,1,0,0,4
3887422,5,"Сервис на высоте, мастер - профессионал",0,0,1,0,0,0,2
3887525,5,спасибо большое,0,0,1,1,0,0,2
3887606,1,ок ,0,0,0,0,0,1,2
3887614,2,Надолго ли(,0,0,0,0,0,1,1
3887743,5,Спасибо. Все работает,0,0,0,0,0,1,0
3887791,5,Спасибо большое!,0,0,1,1,0,0,1
3887844,5,"заявка выполнена, спасибо.",0,0,0,0,0,1,3
3887922,5,Дверь закрывается намного лучше.,0,0,0,0,0,1,2
3888009,5,Спасибо за быстрое реагирование!!!,0,0,1,1,0,0,1
3888318,5,"Оперативно сработали, благодарю.",1,0,0,0,0,0,4
3888354,5,"Спасибо сантехнику Алексею, все сделано качественно ",0,1,1,1,0,0,3
3888539,5,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",1,0,1,1,0,0,3
3888591,5,Очень оперативно и никуда не пришлось ходить.,1,0,0,0,0,0,4
3888606,5,Проблема решена.,0,0,0,0,0,1,2
3888633,5,Очень оперативно отреагировали! Спасибо!,1,0,0,0,0,0,2
3888794,5,"оперативно, качественно, вопросов не возникло. Спасибо.",0,0,0,0,0,1,4
3888811,5,Быстро!,0,0,0,0,0,1,0
3888828,5,Благодарю за оперативность!,0,0,0,0,0,1,4
3889213,5,спасибо за оперативное решение проблемы. ,0,0,1,1,0,0,4
3889473,1,Оперативная работа,0,0,0,0,0,1,3
3889502,5,"оперативное решение проблемы! 
",0,0,0,0,0,1,2
3889542,5,Первый раз вы решили вопрос быстро ,1,0,0,0,1,0,2
3889737,1,Надолго ли,0,0,0,0,0,1,1
3889783,5,отлично спасибо ,0,1,1,1,0,0,2
3889827,5,"спасибо большое, Татьяна.",0,0,1,1,0,0,2
3889956,5,Лучший мастер на свете 🥰Спасибо большое 🙏,0,0,1,0,0,0,4
3890030,5,"Спасибо большое, что починили домофон. ",0,0,1,1,0,0,3
3890209,5,Отличная работа,0,0,0,0,0,1,4
3890231,5,Спасибо огромное за помощь!,0,0,1,1,0,0,3
3890239,5,"обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ",0,0,0,0,0,1,0
3890275,5,отличная работа. теперь дверь закрывается плавно. спасибо. ,0,0,0,0,0,1,1
3890389,5,спасибо большое ,0,0,1,1,0,0,2
3890393,5,Все супер быстро! Спасибо! ,0,0,0,1,0,0,1
3890484,5,Оперативно) спасибо,0,0,1,1,0,0,4
3890486,5,Супер,0,0,0,1,0,0,1
3890512,5,Спасибо.,0,0,0,0,0,1,4
3890517,5,"Молодцы, оперативно. ",0,0,0,0,0,1,0
3890604,5,Вопрос решился быстро. Спасибо!,0,0,0,0,0,1,4
3890656,5,Спасибо 😉 ,0,0,1,1,0,0,3
3890678,5,Александру спасибо за объяснение причины бульканья ! ,0,0,1,1,0,0,2
3890716,5,спасибо! всё быстро!,0,0,0,0,0,1,2
3890985,5,Спасибо! Исправили мою ошибку,0,0,0,0,0,1,3
3891095,5,мастер сделал все очень быстро и аккуратно,1,0,1,1,0,0,4
3891188,5,спасибо за оперативность,0,0,1,1,0,0,3
3891325,5,Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ,1,0,1,1,1,0,3
3891380,5,"Иван, огромное спасибо вам ! ",0,0,1,1,0,0,4
3891477,5,Среагировали за 20 минут!!!!,0,0,0,0,0,1,2
3891489,5,"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",0,0,1,1,1,0,4
3891568,5,спасибо! в тот же день электрик решил проблему.,0,0,0,0,1,0,1
3891612,5,"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",0,0,1,1,0,0,0
3891850,5,да все верно. спасибо,0,0,1,1,0,0,0
3891871,5,спасибо всё бистро устранили ,0,0,1,1,1,0,4
3891943,4,"Спасибо, вроде бы стало лучше. ",0,0,0,0,0,1,4
3892115,5,Спасибо большое за Вашу быструю и профессиональную помощь. ,0,0,1,1,0,0,1
3892189,5,"Все быстро, не смотря на поздний час.",0,0,0,0,0,1,3
3892432,5,ответ был предоставлен оперативно и в полном объеме,1,0,0,0,0,0,4
3892474,5,"Спасибо огромное,  напор стал отличным!",0,0,1,1,0,0,4
3892548,5,Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,0,0,0,0,1,1
3892589,5,сделали,0,0,0,1,0,0,2
3892591,5,Спасибо мастеру Сергею за четкую работу! ,0,0,1,1,0,0,0
3892629,4,"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",0,0,0,0,0,1,0
3892632,5,"Благодарим, очень оперативно!",0,0,0,0,0,1,0
3892659,5,"Быстро, мастеру большое спасибо",0,0,1,1,0,0,1
3892748,5,"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",0,0,1,1,1,0,0
3892858,5,главное что проблема решена! спасибо!,0,0,0,0,0,1,0
3892909,5,Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,1,0,0,1,0,0,0
3892910,5,"спасибо, что решили проблему оперативно ",1,0,0,0,1,0,4
3893074,5,"Оперативно, внимательно, вежливо. Спасибо. ",0,0,0,0,0,1,2
3893110,5,"Спасибо, всё оперативно сделали!",1,0,0,0,0,0,0
3893437,5,Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,0,0,1,0,0,0,2
3893476,5,"Заявка быстра принята в работу. Проблема решена. Спасибо! 
",0,0,0,0,0,1,3
3893532,5,Молодцы! Быстро! 😁,0,0,0,0,0,1,3
3893735,5, Спасибо большое за оперативность👍👍👍,0,0,1,1,0,0,4
3893847,5,Благодарю!,0,0,0,0,0,1,4
3893860,5,"Спасибо большое,всех благ и процветание вашей компании ",0,0,1,1,0,0,4
3893967,5,спасибо электрику,0,0,1,1,0,0,1
3894064,5,всё грамотно по полочкам объяснил,0,0,0,0,0,1,0
3894130,5,благодарю за быстро и качественно оказанную услугу,1,1,0,0,0,0,2
3894191,5,Спасибо за оперативное решение вопроса! ,0,0,1,1,0,0,1
3894326,5,"Огромное спасибо, быстро и качественно ",1,1,0,0,0,0,2
3894419,5,Спасибо большое за оперативность ,0,0,1,1,0,0,2
3894440,5,спасибо за ремонт!,0,0,1,1,0,0,0
3894680,5,благодарю менеджера Татьяну ,0,0,0,0,0,1,2
3894684,5,благодарю менеджера ,0,0,0,0,0,1,3
3894714,5,сотрудники молодцы!,0,0,1,0,0,0,3
3894876,5,Большое спасибо ,0,0,1,1,0,0,4
3894893,5,оперативно и качественно! браво!,1,0,0,0,0,0,0
3894902,5,Спасибо огромное! Оперативно и качественно решили проблему! ,1,1,1,1,1,0,1
3895042,5,"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",0,0,1,1,0,0,2
3895051,5,"Специалист проконсультировал, сориентировал по срокам.",0,0,1,0,0,0,0
3895064,5,"спасибо, быстро и качественно. ",1,0,0,0,0,0,3
3895126,5,спасибо. ,0,0,0,0,0,1,4
3895181,5,Спасибо за оперативность 💫💫💫,0,0,1,1,0,0,2
3895221,5,Все отлично! Спасибо ,0,0,1,1,0,0,3
3895423,5,"Спасибо, большое!!!",0,0,0,0,0,1,1
3895493,5,Спасибо  большое ! ,0,0,1,1,0,0,4
3895519,5,Быстро и оперативно ,1,0,0,0,0,0,3
3895566,5,все отлично,0,1,0,1,0,0,0
3895624,5,Оперативно. Пока работает ,0,0,0,0,0,1,1
3895634,5,"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",0,0,1,1,0,0,3
3895794,5,Отличный сотрудник ,0,0,1,0,0,0,0
3895805,5,Спасибо Мастеру Олегу!,0,0,1,1,0,0,4
3895874,5,"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",0,0,0,0,0,1,0
3895925,5,"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",0,0,1,1,0,0,0
3896179,5,Быстро.Качественно.,0,0,0,0,0,1,2
3896191,5,Спасибо большое всё решили быстро!,0,0,1,1,1,0,0
3896230,5,"оперативно, быстро .",1,0,0,0,0,0,2
3896480,5,"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!",0,0,0,0,0,1,4
3896509,5,Приходил мастер все отрегулировал большое спасибо ,0,0,1,1,0,0,2
3896614,5,Оперативно ,1,0,0,0,0,0,0
3896717,5,спасибо за консультацию,0,0,1,1,0,0,2
3896735,5,"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",0,0,0,0,0,1,4
3896818,5,Спасибо! Всё хорошо ,0,1,0,1,0,0,4
3896822,5,Все ок,0,0,0,0,0,1,2
3896870,5,Сразу бы так,1,0,0,0,0,0,1
3896928,5," Ответ получен. 
Спасибо, что результатом стало уточнение и меня поняли. 
",0,0,0,0,0,1,0
3896945,5,"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ",0,0,0,0,1,0,3
3896981,5,"Прислали на следующий день.
",0,0,0,0,0,1,1
3897000,5,Очень быстро отреагировали. Работа качественная!,1,0,0,0,0,0,0
3897003,1,Ну устранено,0,0,0,0,1,0,0
3897016,5,спасибо за подсказки и внимательное отношение ,0,0,1,1,0,0,0
3897067,5,Сантехник связался сразу. Вопрос решен. ,0,0,0,0,0,1,1
3897113,5,Спасибо технику),0,0,1,1,0,0,1
3897118,5,Благодарю.  Всё отлично 👍. ,0,1,0,1,0,0,0
3897201,5,Сантехник был ,0,0,0,0,0,1,1
3897252,5,подсказали куда обратиться для решения вопроса,0,0,0,0,0,1,0
3897281,5,Спасибо большое за информацию. Татьяна молодец!,0,0,1,1,0,0,4
3897654,5,"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ",0,0,1,0,0,0,4
3897730,5,Все было сделано быстро и качественно.,1,0,0,1,0,0,2
3897831,5,"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",1,0,1,1,0,0,4
3898045,5,"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",0,0,1,1,0,0,4
3898232,5,"да открыла спасибо
",0,0,1,1,0,0,1
3898417,5,"быстро позвонили, пришли все сделали,спасибо ",1,0,0,0,0,0,2
3898427,5,"Молодцы, очень оперативно!!!!! Прям минус одна головная боль ",0,0,0,0,0,1,4
3898572,5,"Очень быстро, качественно. Спасибо! 🤝",0,0,0,0,0,1,3
3898709,5,спасибо большое за разъяснения и за оперативность,0,0,1,1,0,0,0
3898733,5,"Спасибо 
",0,0,1,1,0,0,3
3898761,5,"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)",1,0,1,0,0,0,4
3898762,5,Быстро и понятно ,1,0,0,0,0,0,2
3898819,5,Спасибо за консультацию!,0,0,1,1,0,0,3
3899012,5,"Просто и удобно, а также быстро и экономия времени и ресурсов
.",1,0,0,0,0,0,3
3899166,5,Отлично!,0,0,0,0,0,1,2
3899842,5,Отлично все сделано 5 балов.,0,1,0,1,0,0,4
3899902,4,"четвёрка за то что выслали только со второго раза. 
нужную квитанцию! ",0,0,0,0,0,1,3
3900024,5,отлично👍👏😆,0,0,0,0,0,1,3
3900150,5,спс,0,0,0,0,0,1,1
3900408,5,"Спасибо большое, все получила ",0,0,1,1,0,0,0
3900525,5,"Спасибо ,очень оперативно ",1,0,1,1,0,0,1
3900539,5,"благодарю мастера, всё объяснил и дал рекомендации",0,0,0,0,0,1,4
3900559,5,Ребята молодцы,0,0,0,0,0,1,4
3900602,5,Спасибо за оперативное решение,0,0,1,1,0,0,2
3900686,5,"спасибо!
",0,0,0,0,0,1,3
3900690,5,"оперативно, спасибо",0,0,1,1,0,0,4
3900869,5,Большое спасибо мастеру!,0,0,1,1,0,0,2
3900886,5,"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК",0,0,0,0,0,1,3
3901101,5,"Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин 👍",0,0,1,1,0,0,0
3901168,5,Быстро и чётко,1,0,0,0,0,0,3
3901182,5,Всё хорошо,0,1,0,1,0,0,2
3901194,5,Владимир грамотно и здорово и быстро все сделал,1,0,0,1,0,0,1
3901238,5,Отличный сервис! ,0,0,0,0,0,1,2
3901247,5,огромное спасибо,0,0,1,1,0,0,1
3901257,5,"Спасибо! Сервис работает, это самое главное :)",0,0,0,0,0,1,4
3901356,5,"Все отлично,позвонили,ответ предоставили ",0,0,0,0,0,1,4
3901414,5,Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!,0,0,0,0,0,1,3
3901433,5,"Все отлично, спасибо",0,0,1,1,0,0,2
3901446,5,Оперативное решение! Спасибо),0,0,0,0,0,1,4
3901616,5,"Татьяна оперативно решила вопрос,очень отзывчивая 👍",1,0,0,0,1,0,1
3901836,5,Все гуд,0,0,0,0,0,1,1
3901932,5,Все отлично.👍,0,0,0,0,0,1,0
3901987,5,"Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. ",1,0,0,0,0,0,0
3902000,4,"Спасибо что убрали надпись. Думал, будет аккуратнее ",0,0,1,1,0,0,3
3902088,5,все быстро и четко ,1,0,0,0,0,0,2
3902093,5,"Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! ",0,0,1,1,0,0,4
3902383,5,спасибо за помощь от подключившихся инженеров.,0,0,1,1,0,0,2
3902482,5,Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!,1,0,0,0,0,0,0
3902496,5,"Благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",0,0,0,0,0,1,1
3902529,5,Вопрос был решен оперативно) спасибо большое!,0,0,1,1,1,0,0
3902558,5,Молодцы!,0,0,0,0,0,1,4
3902632,5,Все ок ) спасибо ,0,0,1,1,0,0,0
3902786,5,"красавцы, быстро,  оперативно,  очень приятно в общении ",0,0,0,0,0,1,4
3902795,5,Хорошее обслуживание),0,0,0,0,0,1,2
3903272,5,Оперативно как всегда ,1,0,0,0,0,0,4
3903349,5,"Большое спасибо , оперативно поставили ограничители ",1,0,1,1,0,0,0
3903374,4,"одну звезду сняла за то,что отличается цвет плитки)",0,0,0,0,0,1,3
3903406,5,спасибо! быстро и оперативно,1,0,0,0,0,0,4
3903436,5,"Горячая вода появилась.
",0,0,0,0,0,1,3
3903453,5,"Оперативно, спасибо
",0,0,1,1,0,0,2
3903479,5,Спасибо за оперативность ,0,0,1,1,0,0,4
3903556,5,Спасибо большое за оперативность 🙌🏻🌸,0,0,1,1,0,0,4
3903607,5,Вот теперь молодцы ,0,0,0,0,0,1,1
3903626,5,все отлично бистро устранили мастер хороши,0,1,1,1,1,0,3
3903666,5,"спасибо, проблема была решена",0,0,0,0,1,0,3
3903709,5,"спасибо за оперативность и грамотный, развёрнутый ответ) 
",0,0,1,1,0,0,2
3903741,5,Спасибо большое! Заявка выполнена быстро и качественно!,1,0,1,1,0,0,4
3903798,5,Огромное спасибо ,0,0,1,1,0,0,1
3903951,5,Супер!!!,0,0,0,0,0,1,0
3903997,5,Выполнено быстро и качественно!,1,0,0,1,0,0,2
3904073,5,Всё  понятно объяснили.,0,0,0,0,0,1,4
3904265,5,Большое спасибо Василию за проделанную работу!,0,0,1,1,0,0,2
3904421,5,"Благодарю, помогли, а то до Вас никто не мог решить эту проблему, еще раз спасибо)",0,0,0,0,1,0,1
3904489,5,"Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!",1,0,0,0,0,0,0
3904503,5,"быстро отреагировали, запустили",1,0,0,0,0,0,0
3904606,5,Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.,1,0,0,0,0,0,4
3904693,5,Оперативно и надежно),1,0,0,0,0,0,4
3904810,5,Отлично,0,1,0,1,0,0,4
3904847,5,"Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные👍",0,0,1,0,0,0,1
3904911,5,"Все супер, Очень оперативно и профессионально, Спасибо ",1,0,1,1,0,0,1
3905059,5,Всё быстро и качественно!👍,1,0,0,0,0,0,3
3905086,5,"Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо 👍🏻",1,0,1,1,0,0,0
3905337,5,"спасибо,жду бумажные платежные поручения со следующего месяца ",0,0,0,0,0,1,3
3905720,5,"лучший мастер на свете, нужно ему выдать премию ",0,0,1,0,0,0,1
3905785,5,работает! Спасибо,0,0,1,1,0,0,0
3905786,5,"Спасибо электрику, оперативно пришёл! ",1,0,1,1,0,0,4
3905983,5,все отлично! ,0,0,0,0,0,1,4
3906032,5,"Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",0,0,0,0,0,1,4
3906048,5,"Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить ",0,0,1,1,1,0,3
3906126,5,"Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. 
Молодец! 
",0,0,0,0,1,0,1
3906279,5,благодарю,0,0,0,0,0,1,2
3906380,5,спасибо большое за работу и оперативность,0,0,1,1,0,0,1
3906407,4,"жалко, что при оплате счетов через банк, в приложении не отображается информация об оплате и приходится загружать квитанции дополнительно и подтверждать факт оплаты",0,0,0,0,0,1,2
3906535,5,Все быстро и качественно ,1,1,0,0,0,0,4
3906752,5,"спасибо большое, жаль, что там уже опять намусорили(",0,0,1,1,0,0,0
3906789,5,"спасибо, теперь она закрывается ",0,0,0,0,0,1,0
3906922,3,"Можно было и сразу заявку выполнить. Не забываете что по периметру несколько контейнеров для пакетов. Пакеты кончаются быстро, значит хозяева убирают за собаками. ",1,0,0,0,0,0,0
3906976,5,"Спасибо большое за оперативность,мир и процветание вашей компании Самолет!",0,0,1,1,0,0,1
3907117,5,Выше похвал.. ,0,0,0,0,0,1,4
3907130,5,Спасибо за оперативность! ,0,0,1,1,0,0,2
3907258,5,Благодарю за оперативность.,0,0,0,0,0,1,3
3907305,5,Спасибо..,0,0,0,0,0,1,2
3907364,5,"очень вежливая и грамотная сотрудница, побольше бы таких!",0,0,0,0,0,1,0
3907480,5,спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,0,0,0,0,0,1,2
3907589,5,все прекрасно,0,0,0,0,0,1,1
3907672,5,"все быстро и качественно, большое спасибо!",1,0,0,0,0,0,0
3907792,5,Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации,0,0,1,1,0,0,4
3907928,5,"Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично. ",0,0,1,1,0,0,2
3907943,5,Спасибо за оперативность. ,0,0,1,1,0,0,0
3908011,5,Спасибо за работу,0,0,1,1,0,0,0
3908377,5,Быстро,1,0,0,0,0,0,3
3908429,5,Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени,0,0,1,1,0,0,3
3908490,4,"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.


",0,0,1,1,0,0,3
3908579,5,спасибо за четкость и быстроту!,0,0,1,1,0,0,4
3908590,5,"Консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо! ",0,1,0,1,0,0,4
3908772,5,"мастер выполнил работу быстро и чисто, все отлично",1,1,1,1,0,0,2
3908843,5,Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!,0,0,1,1,0,0,4
3908929,5,Очень быстро👍,0,0,0,0,0,1,2
3909050,5,быстро,1,0,0,0,0,0,1
3909086,5,спасибо за оперативный ответ😊👍,0,0,1,1,0,0,0
3909146,5,очень удобно получать электронную квитанцию.  Давно пора. ,0,0,0,0,0,1,4
3909271,5,Оперативно выполнили заявку. Спасибо,1,0,1,1,0,0,0
3909398,5,спасибо специалисту. ,0,0,1,1,0,0,4
